,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
82,Vestmannaeyjar,0,IS,1538260845,100,63.44,-20.27,37.54,21.27
83,Zeya,0,RU,1538260845,53,53.74,127.27,44.02,6.62
84,Huejuquilla el Alto,76,MX,1538260846,72,22.63,-103.9,65.8,1.36
85,Longyearbyen,20,NO,1538257800,79,78.22,15.63,19.4,10.29
86,Cape Town,0,ZA,1538258400,87,-33.93,18.42,55.4,1.12
87,Custoias,0,PT,1538260846,81,41.11,-7.32,55.99,2.59
88,Tezu,68,IN,1538260847,82,27.93,96.16,66.52,1.48
89,Great Falls,90,US,1538257980,100,47.5,-111.29,37.04,12.75
90,Sept-Iles,40,CA,1538258400,56,50.2,-66.38,44.6,4.7
91,Srinagar,0,IN,1538260742,82,34.07,74.82,38.08,2.04
92,Tuktoyaktuk,75,CA,1538258400,86,69.44,-133.03,28.4,5.82
93,Carnarvon,0,ZA,1538260848,14,-30.97,22.13,44.65,8.63
94,Port-Cartier,40,CA,1538258400,56,50.03,-66.88,44.6,4.7
95,Mecca,48,SA,1538260550,93,21.43,39.83,75.52,2.37
96,Kupang,20,ID,1538256600,94,-10.16,123.6,71.6,6.93
97,Coquimbo,0,CL,1538258400,87,-29.95,-71.34,57.2,12.75
98,Katsuura,75,JP,1538259480,100,33.93,134.5,69.8,13.87
99,Prescott,20,US,1538257980,20,34.54,-112.47,82.94,23.04
100,Chara,90,GR,1538257800,93,39.42,22.43,57.2,16.11
101,Kushima,75,JP,1538259660,94,31.5,131.29,78.8,42.5
102,Dandong,0,CN,1538260851,93,40.12,124.37,54.55,3.94
103,Lhokseumawe,48,ID,1538260851,100,5.18,97.15,79.3,9.53
104,Marawi,0,PH,1538260852,79,8.0,124.29,76.15,3.38
105,Qaanaaq,68,GL,1538260852,100,77.48,-69.36,16.75,4.38
106,Vazhiny,92,RU,1538260852,99,60.96,34.04,36.1,10.09
107,Puri,20,ID,1538258400,88,-7.54,112.45,73.4,4.72
108,Mahebourg,40,MU,1538258400,83,-20.41,57.7,69.8,12.75
109,Norman Wells,20,CA,1538258400,55,65.28,-126.83,39.2,13.87
110,Matara,48,PE,1538260854,38,-13.74,-72.9,53.83,2.15
111,Cabo Rojo,75,PR,1538257800,100,18.09,-67.15,77.0,3.36
112,Hofn,92,IS,1538260854,100,64.25,-15.21,40.87,27.87
113,Walvis Bay,0,NA,1538258400,93,-22.95,14.51,55.4,11.41
114,Yushu,92,CN,1538260855,100,44.84,126.53,52.12,5.17
115,Hithadhoo,64,MV,1538260855,100,-0.6,73.08,82.0,12.77
116,Todos Santos,75,MX,1538257620,74,23.45,-110.23,89.6,9.17
117,Reforma,90,MX,1538257320,53,24.02,-104.65,71.6,6.93
118,Port Hedland,75,AU,1538258400,77,-20.31,118.58,68.0,9.17
119,Baykit,32,RU,1538260856,94,61.68,96.39,39.52,8.97
120,Sambava,88,MG,1538260857,100,-14.27,50.17,73.36,13.22
121,Oktyabrskoye,68,RU,1538260857,48,56.73,85.44,50.95,10.65
122,Castro,56,CL,1538260858,96,-42.48,-73.76,37.81,8.08
123,Flic en Flac,40,MU,1538258400,83,-20.27,57.36,69.8,12.75
124,Aklavik,20,CA,1538258400,97,68.22,-135.01,35.6,2.24
125,Chicama,75,PE,1538258400,77,-7.84,-79.15,66.2,11.41
126,Faanui,12,PF,1538260859,100,-16.48,-151.75,77.32,4.5
127,Sur,0,OM,1538260566,92,22.57,59.53,83.44,8.52
128,Tasiilaq,20,GL,1538257800,47,65.61,-37.64,35.6,2.24
129,Toora-Khem,0,RU,1538260628,85,52.47,96.11,34.21,1.48
130,Harper,40,US,1538259300,73,30.3,-99.24,80.96,8.05
131,Chuy,92,UY,1538260861,97,-33.69,-53.46,66.79,6.17
132,Srednekolymsk,92,RU,1538260861,89,67.46,153.71,34.21,8.08
133,Nizwa,0,OM,1538260861,63,22.93,57.53,66.79,2.71
134,Sobolevo,48,RU,1538260862,74,54.43,31.9,28.27,5.06
135,Goulburn,0,AU,1538260862,62,-34.75,149.72,53.92,3.38
136,Vostok,92,RU,1538260863,100,46.45,135.83,50.32,2.71
137,Esperance,20,TT,1538258400,79,10.24,-61.45,84.2,8.05
138,Deputatskiy,68,RU,1538260863,88,69.3,139.9,25.93,3.94
139,Port Blair,8,IN,1538260863,100,11.67,92.75,83.17,2.59
140,Moussoro,0,TD,1538260864,71,13.64,16.49,75.79,2.71
141,Georgetown,20,GY,1538258400,78,6.8,-58.16,82.4,9.17
142,Tigil,48,RU,1538260865,81,57.8,158.67,45.01,14.45
143,Matamoros,1,US,1538257980,82,25.87,-97.51,82.94,8.05
144,Tirumullaivasal,24,IN,1538260865,93,11.24,79.84,80.29,5.17
145,Mount Gambier,0,AU,1538260866,85,-37.83,140.78,55.63,3.49
146,Bethel,75,US,1538257980,59,60.79,-161.76,60.08,12.75
147,Gombong,12,ID,1538260867,83,-7.19,109.31,71.29,2.93
148,Port Elizabeth,1,US,1538258160,55,39.31,-74.98,75.92,5.82
149,Kalanguy,32,RU,1538260867,78,51.01,116.52,40.15,2.71
150,Ust-Ordynskiy,0,RU,1538258400,100,52.8,104.75,33.8,4.47
151,Cidreira,0,BR,1538260868,78,-30.17,-50.22,72.82,14.67
152,Roald,92,NO,1538259600,76,62.58,6.12,48.2,29.97
153,Karratha,8,AU,1538260869,65,-20.74,116.85,67.69,10.09
154,Sechura,0,PE,1538260869,82,-5.56,-80.82,69.94,11.99
155,Innisfail,75,CA,1538258400,59,52.02,-113.95,35.6,16.11
156,Taoudenni,36,ML,1538260869,27,22.68,-3.98,77.59,7.4
157,San Carlos,75,VE,1538258400,70,9.66,-68.59,87.8,2.71
158,Erdenet,0,MN,1538260871,67,49.03,104.04,20.89,2.48
159,Okhotsk,32,RU,1538260871,86,59.36,143.24,42.76,12.21
160,Byron Bay,90,AU,1538258400,72,-28.65,153.62,64.4,10.29
161,Dingle,64,PH,1538260871,100,11.0,122.67,76.6,4.5
162,Krasnyy Chikoy,56,RU,1538260790,89,50.36,108.75,33.94,2.48
163,Chokurdakh,92,RU,1538260872,96,70.62,147.9,32.86,16.46
164,Torbay,90,CA,1538258400,93,47.66,-52.73,64.4,9.17
165,Antofagasta,75,CL,1538258400,72,-23.65,-70.4,60.8,13.87
166,Claudio,88,BR,1538260873,78,-20.44,-44.77,71.2,7.74
167,Adrar,0,DZ,1538258400,31,27.87,-0.29,78.8,10.29
168,Zilair,68,RU,1538260874,73,52.23,57.44,47.98,5.95
169,Marsa Matruh,0,EG,1538258400,61,31.35,27.25,77.0,2.59
170,Codrington,92,AU,1538260874,99,-28.95,153.24,58.78,5.39
171,Ouadda,12,CF,1538260875,94,8.07,22.4,67.6,2.93
172,Mahibadhoo,88,MV,1538260875,99,3.78,72.97,83.44,17.81
173,Kokopo,0,PG,1538260875,94,-4.34,152.27,83.08,8.41
174,Toccoa,1,US,1538260500,81,34.58,-83.33,82.94,3.36
175,Belyy Yar,48,RU,1538258400,100,53.6,91.39,41.0,2.24
176,Zyryanka,92,RU,1538260876,91,65.73,150.89,35.02,10.98
177,Nantucket,1,US,1538259300,81,41.28,-70.1,66.92,6.93
178,Kangaatsiaq,88,GL,1538260877,99,68.31,-53.46,36.28,14.23
179,Pisco,0,PE,1538258400,30,-13.71,-76.2,71.6,17.22
180,Nuevitas,40,CU,1538257800,55,21.55,-77.27,87.8,17.22
181,Banda Aceh,76,ID,1538260878,100,5.56,95.32,75.07,2.15
182,Skjervoy,88,NO,1538260878,100,70.03,20.97,41.95,10.09
183,Tiksi,80,RU,1538260879,95,71.64,128.87,31.42,7.52
184,Nosy Varika,0,MG,1538260879,100,-20.58,48.53,67.42,5.39
185,Sabla,0,NG,1538260879,85,12.75,4.71,75.88,1.03
186,San Rafael,0,AR,1538260880,72,-34.61,-68.33,54.55,8.08
187,Burgeo,0,CA,1538260880,96,47.61,-57.61,54.37,15.12
188,Bend,1,US,1538259300,30,44.06,-121.32,71.06,12.75
189,Pimentel,20,BR,1538260882,57,-3.7,-45.5,85.51,7.63
190,Zhangjiakou,0,CN,1538260882,69,40.77,114.88,41.59,16.46
191,Peterhead,0,AU,1538258400,62,-34.83,138.5,51.8,11.41
192,Soe,92,EE,1538257800,65,57.91,26.05,44.6,11.41
193,Sorland,92,NO,1538260883,100,67.67,12.69,48.43,19.6
194,Upernavik,92,GL,1538260883,100,72.79,-56.15,34.75,16.8
195,Ancud,12,CL,1538260884,79,-41.87,-73.83,39.52,8.41
196,Estevan,1,CA,1538259300,32,49.14,-102.99,51.8,9.17
197,Aracati,0,BR,1538260752,80,-4.56,-37.77,78.67,11.99
198,Thompson,75,CA,1538258400,80,55.74,-97.86,35.6,5.82
199,Conceicao do Araguaia,32,BR,1538260885,88,-8.26,-49.26,79.12,2.48
200,Pitimbu,75,BR,1538258400,78,-7.47,-34.81,78.8,11.41
201,Hirado,75,JP,1538258400,83,33.32,129.49,69.8,6.93
202,Aden,80,YE,1538260886,99,12.79,45.03,83.17,14.67
203,Yellowknife,75,CA,1538258400,64,62.45,-114.38,33.8,12.75
204,Shenjiamen,24,CN,1538260887,86,29.96,122.3,75.79,28.32
205,Luganville,92,VU,1538260887,100,-15.51,167.18,77.05,17.81
206,Iqaluit,90,CA,1538258400,93,63.75,-68.52,35.6,3.49
207,Catuday,80,PH,1538260888,100,16.29,119.81,80.2,5.73
208,Bonthe,80,SL,1538260888,93,7.53,-12.5,77.68,5.17
209,Fernandina Beach,1,US,1538258100,69,30.67,-81.46,91.4,12.75
210,Shvartsevskiy,0,RU,1538260889,81,54.1,37.99,28.72,2.71
211,Loralai,0,PK,1538260889,54,30.37,68.6,43.03,3.49
212,Zenzeli,8,RU,1538260890,82,45.92,47.05,45.55,2.93
213,Dikson,88,RU,1538260890,83,73.51,80.55,42.67,24.29
214,Galle,90,US,1538258880,88,29.74,-97.91,80.06,5.82
215,Santa Rosa de Lima,56,SV,1538260891,76,13.63,-87.89,75.25,1.92
216,Juan Lacaze,36,UY,1538260891,94,-34.43,-57.44,59.77,13.78
217,Wollongong,40,AU,1538258400,58,-34.42,150.89,57.2,13.87
218,Nicoya,75,CR,1538258400,66,10.15,-85.45,86.0,4.7
219,Uncia,0,BO,1538260892,35,-18.47,-66.57,37.45,3.71
220,Santa Cruz del Sur,8,CU,1538260893,71,20.71,-78.0,82.0,11.77
221,Port Augusta,24,AU,1538258400,54,-32.49,137.76,57.2,10.29
222,Vila Velha,40,BR,1538258400,78,-3.71,-38.6,80.6,9.17
223,Hami,0,CN,1538260894,65,42.84,93.51,45.55,7.52
224,Floresta,56,BR,1538260894,33,-8.6,-38.57,85.42,8.08
225,Maniitsoq,88,GL,1538260895,95,65.42,-52.9,37.54,13.11
226,Mubi,8,NG,1538260895,87,10.27,13.26,69.4,2.48
227,Kaura Namoda,0,NG,1538260895,87,12.59,6.58,71.83,2.37
228,Asyut,0,EG,1538258400,39,27.18,31.19,78.8,14.99
229,Miri,0,NG,1538260896,84,10.31,9.75,71.02,2.15
230,Rengo,75,CL,1538258400,55,-34.41,-70.86,60.8,10.29
231,Isangel,92,VU,1538260896,100,-19.55,169.27,73.27,21.16
232,Turukhansk,76,RU,1538260897,96,65.8,87.96,41.77,14.79
233,Coevorden,0,NL,1538259900,93,52.66,6.74,39.2,6.51
234,Souillac,0,FR,1538260200,58,45.6,-0.6,59.0,8.05
235,Salym,88,RU,1538260898,86,60.06,71.48,43.39,10.76
236,San Patricio,12,PY,1538260898,56,-26.98,-56.83,83.44,5.73
237,Merauke,0,ID,1538260899,69,-8.49,140.4,82.54,16.69
238,Okha,24,RU,1538260899,67,53.59,142.95,52.03,8.63
239,La Ronge,75,CA,1538258400,66,55.1,-105.3,32.0,16.11
240,Havre-Saint-Pierre,75,CA,1538258400,81,50.23,-63.6,44.6,9.17
241,Emerald,0,AU,1538260618,42,-23.53,148.16,78.31,9.98
242,Sarangani,56,PH,1538260900,98,5.4,125.46,82.9,4.94
243,Hajnowka,0,PL,1538260900,86,52.74,23.58,36.73,6.96
244,Buala,48,SB,1538260901,91,-8.15,159.59,82.9,5.17
245,Bilibino,80,RU,1538260901,91,68.06,166.44,46.0,4.94
246,Asosa,64,ET,1538260902,89,10.07,34.53,58.69,2.59
247,Kaitangata,44,NZ,1538260779,96,-46.28,169.85,51.04,4.16
248,Leningradskiy,48,RU,1538260902,82,69.38,178.42,44.92,20.6
249,Petrila,75,RO,1538258400,93,45.44,23.38,48.2,4.7
250,Reinosa,0,ES,1538260200,100,43.0,-4.14,60.8,2.24
251,Cabadiangan,40,PH,1538258400,78,10.45,123.98,80.6,3.36
252,Geraldton,90,CA,1538258400,59,49.72,-86.95,35.6,8.05
253,Vila Franca do Campo,20,PT,1538258400,88,37.72,-25.43,64.4,13.87
254,Porto Novo,75,BR,1538258400,88,-23.68,-45.44,69.8,14.99
255,Mandalgovi,8,MN,1538260904,93,45.76,106.27,30.43,10.54
256,Luderitz,0,NA,1538260905,76,-26.65,15.16,60.49,4.5
257,Lata,0,IN,1538260905,77,30.78,78.62,45.91,2.15
258,West Wendover,1,US,1538258160,2,40.74,-114.07,89.06,25.28
259,Olinda,75,EC,1538258400,62,-2.03,-79.75,84.2,10.29
260,Kutum,0,SD,1538260906,39,14.2,24.66,71.47,8.19
261,Comodoro Rivadavia,40,AR,1538258400,61,-45.87,-67.48,48.2,18.34
262,Lufilufi,12,WS,1538260907,100,-13.87,-171.6,81.19,15.46
263,Zhanaozen,92,KZ,1538260908,44,43.35,52.85,63.82,3.15
264,Klaksvik,76,FO,1538259600,87,62.23,-6.59,44.6,13.87
265,Saint-Georges,12,CA,1538260908,80,46.12,-70.67,44.92,3.04
266,Petrovsk-Zabaykalskiy,32,RU,1538260909,85,51.27,108.84,30.79,2.48
267,Mana,0,RS,1538258400,62,43.52,20.24,53.6,4.7
268,Sungurlare,75,BG,1538260200,87,42.77,26.78,57.2,16.11
269,Tefe,20,BR,1538258400,79,-3.35,-64.71,86.0,5.39
270,Troitskoye,12,RU,1538260910,83,52.98,84.68,37.45,3.15
271,Xam Nua,92,LA,1538260911,94,20.42,104.04,64.9,2.15
272,Rio Grande,90,BR,1538257500,93,-32.03,-52.1,66.2,23.04
273,Auki,0,NG,1538260911,89,12.18,6.51,73.0,2.93
274,Doha,0,QA,1538258400,66,25.29,51.53,89.6,4.7
275,Moron,44,VE,1538260912,82,10.49,-68.2,74.71,1.7
276,Yumen,80,CN,1538260912,38,40.29,97.04,45.19,4.5
277,Boddam,75,GB,1538259600,87,57.47,-1.78,50.0,6.93
278,Saint-Pierre,0,FR,1538260200,75,48.95,4.24,42.8,5.82
279,Brae,80,GB,1538259600,66,60.4,-1.35,50.0,25.28
280,Aksarayskiy,0,RU,1538258400,81,46.79,48.01,48.2,2.24
281,Durban,90,FR,1538260200,82,43.54,0.58,60.8,5.82
282,Iwanai,80,JP,1538260915,99,42.97,140.51,62.47,5.39
283,Cabedelo,75,BR,1538258400,78,-6.97,-34.84,78.8,11.41
284,Nieuw Amsterdam,20,SR,1538258400,66,5.88,-55.08,86.0,10.29
285,Massaguet,0,TD,1538258400,69,12.48,15.44,82.4,5.82
286,Pevek,32,RU,1538260917,78,69.7,170.27,50.14,13.11
287,Tarko-Sale,92,RU,1538260917,98,64.92,77.78,42.22,8.19
288,Ayagoz,0,KZ,1538260917,77,47.96,80.43,40.33,6.4
289,Christchurch,68,NZ,1538258400,93,-43.53,172.64,48.2,5.82
290,Akom,88,GH,1538260918,94,6.86,-1.64,73.9,5.95
291,Carson City,1,US,1538259300,14,39.16,-119.77,78.98,16.11
292,Severo-Kurilsk,8,RU,1538260919,88,50.68,156.12,52.57,6.62
293,Healdsburg,90,US,1538259060,96,38.61,-122.87,68.0,5.82
294,Salalah,40,OM,1538257800,83,17.01,54.1,77.0,3.15
295,Nueve de Julio,0,AR,1538260920,29,-31.67,-68.39,66.43,7.18
296,Keratea,75,GR,1538259600,82,37.81,23.98,66.2,8.05
297,Doka,0,SD,1538260920,67,13.52,35.76,71.38,5.06
298,Ketchikan,1,US,1538258160,5,55.34,-131.65,66.02,12.75
299,Mandera,0,ET,1538260921,73,3.94,41.86,77.5,10.2
300,Baruun-Urt,32,MN,1538260921,90,46.68,113.28,43.75,17.47
301,Vysokogornyy,56,RU,1538260922,75,50.1,139.13,49.42,3.15
302,Natal,40,BR,1538258400,69,-5.81,-35.21,80.6,16.11
303,Pangnirtung,92,CA,1538260922,99,66.15,-65.72,31.24,9.42
304,Cherskiy,68,RU,1538260923,88,68.75,161.3,38.89,4.05
305,Abha,0,SA,1538258400,25,18.22,42.5,66.2,4.7
306,Spas-Klepiki,0,RU,1538260923,100,55.13,40.18,32.23,8.52
307,Ebeltoft,76,DK,1538259600,71,56.2,10.68,53.6,9.17
308,Port Shepstone,80,ZA,1538260924,92,-30.74,30.45,64.99,10.65
309,Waipawa,8,NZ,1538260924,64,-39.94,176.59,59.95,6.51
310,Yeppoon,0,AU,1538258400,73,-23.13,150.74,71.6,6.93
311,Khor,76,RU,1538260925,90,47.88,134.96,53.29,3.94
312,Taree,0,AU,1538258400,45,-31.91,152.46,62.6,9.17
313,Puksoozero,64,RU,1538260925,92,62.59,40.61,30.7,8.19
314,Nanga Eboko,64,CM,1538260926,99,4.68,12.37,68.59,6.51
315,Tautira,20,PF,1538258400,69,-17.73,-149.15,80.6,11.41
316,Rabo de Peixe,20,PT,1538260200,88,37.8,-25.58,66.2,8.05
317,Dicabisagan,92,PH,1538260927,100,17.08,122.42,76.96,5.5
318,Wuda,8,CN,1538260927,62,39.5,106.72,31.24,2.71
319,Burdur,40,TR,1538257800,77,37.72,30.29,62.6,3.49
320,Viransehir,0,TR,1538260928,62,37.24,39.76,59.95,3.38
321,Wagar,32,US,1538260928,70,31.44,-87.99,81.37,2.37
322,Ishinomaki,75,JP,1538259360,100,38.42,141.3,62.6,3.36
323,Ahipara,48,NZ,1538260929,69,-35.17,173.16,61.57,12.55
324,Omboue,80,GA,1538260929,100,-1.57,9.26,77.32,7.96
325,Sanford,75,US,1538259300,73,35.48,-79.18,80.96,4.94
326,Bagotville,92,AU,1538260930,100,-28.98,153.42,61.48,12.55
327,Port Said,68,EG,1538260930,34,25.34,30.55,82.54,6.96
328,Chapais,90,CA,1538259360,86,49.78,-74.86,39.2,2.24
329,Purranque,90,CL,1538259540,86,-40.91,-73.16,41.0,12.75
330,Yulara,48,AU,1538258400,32,-25.24,130.99,66.2,18.34
331,San Quintin,20,PH,1538258400,94,17.54,120.52,73.4,2.24
332,Marienburg,0,DE,1538259600,75,52.12,9.98,44.6,1.12
333,Valledupar,40,CO,1538258400,62,10.46,-73.25,86.0,5.82
334,Saint-Joseph,0,FR,1538260200,59,43.56,6.97,69.8,4.7
335,Saskylakh,80,RU,1538260933,100,71.97,114.09,31.15,12.44
336,Nisia Floresta,40,BR,1538258400,69,-6.09,-35.21,80.6,16.11
337,Petropavlovka,0,RU,1538260933,71,50.61,105.32,27.55,2.48
338,Lao Cai,88,VN,1538260934,96,22.48,103.95,66.25,1.92
339,La Primavera,20,AR,1538258400,43,-32.92,-68.67,73.4,11.41
340,Luebo,68,CD,1538260935,96,-5.35,21.42,71.11,1.48
341,Qiyang,32,CN,1538260935,81,26.59,111.85,63.82,2.93
342,Russell,20,AR,1538258400,43,-33.01,-68.8,73.4,11.41
343,Indiaroba,0,BR,1538260936,85,-11.53,-37.51,73.72,8.63
344,Saint George,90,GR,1538257800,93,39.45,22.34,57.2,16.11
345,Vyshestebliyevskaya,32,RU,1538258400,87,45.2,37.0,55.4,11.18
346,Derzhavinsk,8,KZ,1538260937,66,51.1,66.31,42.58,9.19
347,Wawa,0,NG,1538260937,88,9.9,4.41,76.78,2.59
348,Petropavlovsk-Kamchatskiy,0,RU,1538258400,72,53.05,158.65,53.6,15.66
349,Anadyr,75,RU,1538258400,93,64.73,177.51,50.0,38.03
350,Mingguang,0,CN,1538260938,80,32.78,118.01,65.35,11.1
351,Bannu,12,PK,1538260938,85,32.99,70.6,63.1,3.94
352,Norton,0,ZW,1538260939,60,-17.87,30.7,64.9,17.69
353,Kuju,0,IN,1538260939,71,23.72,85.51,71.38,6.73
354,Rawson,80,AR,1538260939,27,-43.3,-65.11,62.11,18.81
355,Beyneu,68,KZ,1538260940,46,45.32,55.19,59.77,7.96
356,Kudligi,92,IN,1538260940,98,14.91,76.38,70.66,3.38
357,Bac Ninh,0,VN,1538260200,69,21.18,106.05,77.0,3.36
358,Lakes Entrance,8,AU,1538260941,83,-37.88,147.99,55.63,8.63
359,Lasa,20,CY,1538260200,57,34.92,32.53,77.0,4.7
360,Nova Odesa,76,UA,1538260941,86,47.3,31.79,50.23,12.55
361,Prince Rupert,1,CA,1538258400,22,54.32,-130.32,64.4,11.41
362,Broome,0,GB,1538259600,93,52.47,1.45,50.0,6.93
363,Peleduy,0,RU,1538260942,80,59.63,112.75,30.52,3.04
364,Pitsunda,75,GE,1538258400,93,43.16,40.34,62.6,4.47
365,Maceio,40,BR,1538258400,88,-9.67,-35.74,75.2,4.7
366,Camocim,12,BR,1538260747,74,-2.9,-40.84,79.48,16.13
367,Laguna,40,MX,1538257200,49,27.52,-110.01,93.2,6.93
368,Kargasok,92,RU,1538260944,67,59.06,80.87,52.93,11.65
369,Dapaong,48,TG,1538260944,96,10.86,0.2,76.78,3.04
370,Kulhudhuffushi,80,MV,1538260945,100,6.62,73.07,81.82,15.46
371,Curitibanos,56,BR,1538260945,98,-27.29,-50.58,63.73,3.04
372,Grand Gaube,40,MU,1538258400,83,-20.01,57.66,69.8,12.75
